profile_id,event_ts,event_name,purchased_7d
1183,2025-02-04T18:07:16,Order Placed,1
2645,2025-03-19T04:12:12,Viewed Product.,0
2981,2025-04-16T12:28:30,Viewed Product.,0
2392,2025-02-14T06:38:33,Email Open,0
1398,2025-02-14T22:26:30,Active on Site,0
2252,2025-01-06T02:44:47,Viewed Product.,0
840,2025-01-11T15:50:31,Viewed Product.,0
2989,2025-03-21T17:10:19,SMS Delivered,0
408,2025-04-07T05:46:10,Unsubscribed,0
467,2025-03-27T05:36:30,Email Open,0
1797,2025-04-04T08:47:57,Viewed Product.,0
2810,2025-02-19T14:48:22,SMS Delivered,0
2665,2025-03-02T01:47:25,SMS Sent,0
1457,2025-03-11T06:19:29,Placed Order,1
703,2025-03-30T02:04:02,Opened Email,1
2142,2025-03-25T08:40:39,Clicked email link,0
309,2025-02-12T21:33:23,Blotout Viewed Product Xyz,0
2730,2025-03-20T22:18:56,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
2448,2025-04-01T06:20:46,Clicked email link,0
1010,2025-03-23T17:03:09,Placed Order,1
2945,2025-02-11T18:16:55,Clicked email to unsubscribe,0
1358,2025-01-03T19:41:55,Order Placed,1
2221,2025-03-17T09:25:57,SMS Sent,0
562,2025-03-09T19:48:17,Order Placed,1
2730,2025-03-12T02:04:27,Opened Email,0
2093,2025-01-28T11:28:18,Viewed Product.,0
1974,2025-03-23T03:18:24,Clicked Email,0
1682,2025-04-17T12:09:09,Order Placed,1
1681,2025-01-05T12:31:08,Viewed Product.,0
1788,2025-02-26T23:55:53,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
2755,2025-03-30T01:26:53,Active on Site,0
608,2025-03-07T23:53:15,Clicked email to unsubscribe,0
1817,2025-01-18T14:14:25,Active on Site,0
1915,2025-01-12T20:09:19,Blotout Viewed Product Xyz,0
1407,2025-04-26T06:47:16,Order Placed,1
2986,2025-03-28T08:05:53,Placed Order,1
2189,2025-02-26T17:34:03,Clicked email to unsubscribe,0
1604,2025-01-18T06:21:30,SMS Sent,0
2137,2025-01-29T07:23:14,Email Open,0
1308,2025-04-03T01:54:11,Clicked email link,0
1334,2025-03-04T15:33:24,Blotout Viewed Product Xyz,0
2814,2025-01-28T12:20:47,Placed Order,1
955,2025-03-04T19:37:47,Clicked email to unsubscribe,0
400,2025-03-24T05:43:05,Blotout Viewed Product Xyz,0
2301,2025-03-13T23:03:47,Clicked email link,0
699,2025-01-13T10:38:22,Viewed Product XYZ   ,0
602,2025-01-17T07:23:17,Placed Order,1
893,2025-03-25T11:18:24,Blotout Viewed Product Xyz,0
1213,2025-01-26T14:06:08,Viewed Product.,0
433,2025-04-05T11:03:21,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1157,2025-01-05T07:28:30,Order Placed,1
2561,2025-02-09T03:16:27,Black Crow Identified,0
532,2025-01-17T11:09:33,Opened Email,1
2070,2025-01-05T20:38:25,Email Open,0
136,2025-04-11T08:55:58,Clicked Email,0
2583,2025-04-09T03:22:10,Black Crow Identified,0
2690,2025-03-23T11:57:52,Opened Email,1
1415,2025-04-02T11:22:46,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
2595,2025-01-21T16:57:58,Blotout Viewed Product Xyz,0
2626,2025-02-14T06:28:21,Blotout Viewed Product Xyz,0
1979,2025-03-04T02:23:10,Active on Site,0
2112,2025-04-07T22:24:43,Clicked email to unsubscribe,0
1034,2025-04-21T10:07:28,Viewed Product XYZ   ,0
2981,2025-01-21T14:27:32,SMS Sent,0
1057,2025-03-16T03:02:40,Clicked Email,0
2495,2025-01-18T19:01:52,Blotout Viewed Product Xyz,0
1681,2025-01-08T06:51:10,Viewed Product.,0
2344,2025-04-08T14:54:59,Clicked Email,0
1091,2025-02-01T12:59:42,Clicked email link,0
2736,2025-01-13T02:46:16,SMS Delivered,0
1780,2025-03-09T06:56:52,SMS Delivered,0
99,2025-02-24T00:39:23,Clicked Email,0
1929,2025-01-01T19:34:23,Clicked Email,0
2380,2025-03-17T23:07:43,SMS Sent,0
2159,2025-04-30T13:40:01,Order Placed,1
2353,2025-04-04T21:27:19,Order Placed,1
1274,2025-04-09T00:48:46,Black Crow Identified,1
73,2025-01-03T00:54:17,Viewed Product XYZ   ,0
34,2025-04-09T08:14:23,Email Open,0
1477,2025-02-09T03:48:54,Opened Email,0
2831,2025-01-29T11:05:52,Opened Email,0
2647,2025-03-10T04:41:31,Viewed Product.,0
1212,2025-03-10T18:32:52,Clicked email link,0
1848,2025-04-11T07:30:38,Placed Order,1
843,2025-02-22T18:57:05,Black Crow Identified,0
356,2025-02-07T15:12:19,Active on Site,0
797,2025-02-14T23:20:26,Email Open,0
2319,2025-02-28T21:12:01,Viewed Product.,0
1747,2025-01-01T00:43:59,SMS Delivered,0
2208,2025-02-20T23:55:49,Placed Order,1
1550,2025-04-25T20:11:36,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1740,2025-03-30T09:09:35,Blotout Viewed Product Xyz,0
1550,2025-03-16T18:42:33,Clicked email to unsubscribe,0
2466,2025-04-14T00:51:57,Active on Site,0
951,2025-03-18T03:52:34,Viewed Product XYZ   ,0
1149,2025-01-15T10:59:41,Email Open,0
2363,2025-03-29T04:19:26,Order Placed,1
1927,2025-04-13T18:26:31,Clicked email to unsubscribe,0
35,2025-03-01T07:59:08,Placed Order,1
330,2025-02-04T06:50:26,SMS Sent,0
1531,2025-03-02T23:07:53,Viewed Product XYZ   ,0
1209,2025-01-19T09:22:59,Opened Email,0
2308,2025-01-23T03:47:53,Active on Site,0
1536,2025-02-16T12:03:29,Clicked email link,0
2886,2025-02-18T14:44:35,SMS Delivered,0
527,2025-04-22T05:54:23,Active on Site,0
296,2025-01-23T16:29:12,Active on Site,0
143,2025-01-23T22:32:31,SMS Delivered,0
2896,2025-01-06T08:16:11,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1966,2025-03-24T05:04:36,Opened Email,0
2978,2025-01-05T03:12:45,Placed Order,1
666,2025-01-13T02:28:51,Unsubscribed,0
2316,2025-04-13T09:59:33,Viewed Product.,0
2648,2025-03-30T16:18:53,SMS Delivered,0
1824,2025-04-19T00:49:35,Active on Site,0
2,2025-02-13T11:55:44,SMS Sent,0
1832,2025-03-17T01:35:26,Unsubscribed,0
932,2025-03-28T04:36:12,Email Open,0
2474,2025-01-21T20:23:20,Clicked email link,0
603,2025-04-01T11:05:44,Unsubscribed,0
2276,2025-04-29T16:51:15,Black Crow Identified,0
107,2025-02-02T23:59:37,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1690,2025-03-28T00:00:06,Black Crow Identified,0
557,2025-02-28T19:55:57,Clicked Email,0
897,2025-04-03T12:47:54,Clicked Email,0
759,2025-04-28T12:01:19,Clicked email to unsubscribe,0
2339,2025-04-24T21:34:03,Email Open,0
1931,2025-01-25T04:35:54,Order Placed,1
2924,2025-01-05T16:23:26,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1665,2025-02-25T03:14:14,SMS Delivered,0
462,2025-03-30T17:00:00,Order Placed,1
10,2025-03-16T04:10:09,Unsubscribed,0
2591,2025-01-15T14:02:18,Blotout Viewed Product Xyz,1
1763,2025-02-25T23:30:25,Black Crow Identified,0
849,2025-02-28T22:34:31,Opened Email,0
1326,2025-01-24T10:25:07,Email Open,0
1460,2025-04-08T11:28:19,Unsubscribed,0
1510,2025-03-17T15:11:40,Opened Email,0
1506,2025-04-21T23:52:56,Opened Email,0
1723,2025-01-27T21:28:05,Unsubscribed,0
2204,2025-04-02T19:40:40,SMS Sent,1
1129,2025-01-26T21:35:31,Clicked email link,0
2491,2025-04-29T11:05:40,Email Open,0
2095,2025-01-25T03:31:00,Viewed Product XYZ   ,0
2797,2025-01-04T12:08:26,Clicked email to unsubscribe,0
1003,2025-04-28T23:21:48,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
415,2025-04-14T04:43:54,Clicked email link,1
1918,2025-01-28T23:28:40,Opened Email,0
2680,2025-01-21T21:25:01,SMS Sent,0
1569,2025-03-25T13:20:33,SMS Sent,0
349,2025-03-25T01:26:00,SMS Sent,0
1478,2025-02-05T14:52:00,Opened Email,1
2490,2025-01-18T09:52:53,Active on Site,0
1299,2025-01-18T10:24:25,SMS Sent,0
1000,2025-02-11T12:08:04,Placed Order,1
1466,2025-04-02T05:50:18,Clicked Email,0
1457,2025-01-23T21:06:42,Active on Site,0
1785,2025-03-15T22:45:58,Black Crow Identified,0
2961,2025-03-25T12:19:46,SMS Sent,0
1675,2025-03-23T03:12:18,Unsubscribed,0
1413,2025-03-26T23:35:12,SMS Delivered,0
2569,2025-01-22T08:10:57,SMS Delivered,0
2465,2025-01-24T10:32:07,Placed Order,1
2267,2025-03-04T20:16:25,Order Placed,1
2411,2025-04-06T20:00:27,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
2416,2025-04-16T23:08:55,Opened Email,0
2324,2025-03-05T15:43:40,Clicked Email,0
1352,2025-02-03T03:04:03,SMS Sent,0
2663,2025-01-10T10:11:16,Viewed Product.,0
2428,2025-02-14T19:01:28,Opened Email,0
1517,2025-03-09T21:56:02,Email Open,0
596,2025-03-09T09:31:33,Blotout Viewed Product Xyz,0
2559,2025-03-18T12:04:16,Clicked email to unsubscribe,0
416,2025-03-16T18:30:58,Clicked email to unsubscribe,0
2600,2025-01-13T16:32:14,Email Open,0
750,2025-02-10T03:48:03,Viewed Product.,0
922,2025-03-05T06:51:52,SMS Sent,0
2190,2025-03-10T09:57:10,Email Open,0
1781,2025-04-25T20:16:31,Viewed Product.,0
2517,2025-04-07T19:43:19,Opened Email,0
398,2025-01-25T07:36:59,Blotout Viewed Product Xyz,0
1150,2025-02-07T01:57:30,Clicked email link,0
1830,2025-03-20T08:51:53,Black Crow Identified,0
1578,2025-03-11T16:44:07,Clicked email link,0
350,2025-02-21T00:16:32,Placed Order,1
1389,2025-01-25T16:09:29,Clicked email to unsubscribe,0
1740,2025-01-11T12:04:33,Clicked email to unsubscribe,0
223,2025-01-14T11:50:37,Email Open,0
565,2025-02-26T01:35:20,Opened Email,0
2565,2025-03-23T00:45:12,SMS Delivered,0
1562,2025-03-16T01:18:36,Unsubscribed,0
832,2025-03-02T20:10:32,Clicked Email,0
1159,2025-02-17T15:56:49,Opened Email,1
160,2025-02-27T13:28:10,Order Placed,1
2983,2025-03-05T04:03:50,Black Crow Identified,0
117,2025-03-18T20:06:01,Opened Email,0
2047,2025-02-28T22:52:07,Unsubscribed,1
2049,2025-02-13T19:11:27,Clicked email to unsubscribe,0
2360,2025-01-24T14:32:48,Clicked Email,0
2655,2025-01-05T08:44:13,Viewed Product XYZ   ,0
2755,2025-01-17T16:41:56,Order Placed,1
2186,2025-04-30T05:46:36,SMS Delivered,0
947,2025-03-17T21:15:23,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
106,2025-02-02T05:24:50,Order Placed,1
1807,2025-04-25T21:41:29,SMS Sent,0
1018,2025-04-27T17:29:05,Clicked email to unsubscribe,0
2390,2025-04-17T05:28:41,Unsubscribed,0
1812,2025-04-11T00:51:02,Black Crow Identified,0
2271,2025-03-22T08:21:56,Placed Order,1
2176,2025-03-12T08:19:25,Opened Email,0
787,2025-03-12T13:03:11,Order Placed,1
1693,2025-03-11T19:47:26,Blotout Viewed Product Xyz,0
2156,2025-02-18T11:47:39,Black Crow Identified,0
591,2025-04-05T11:59:35,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1746,2025-03-24T01:24:11,Viewed Product.,0
334,2025-02-13T12:03:41,Clicked email to unsubscribe,0
1113,2025-02-13T23:26:33,Viewed Product.,0
50,2025-02-21T00:31:22,Active on Site,0
947,2025-04-30T10:22:08,Unsubscribed,1
902,2025-01-05T23:38:01,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
2406,2025-01-23T02:22:42,SMS Delivered,0
1779,2025-02-21T15:15:22,SMS Sent,0
2930,2025-03-17T19:41:39,Email Open,0
2031,2025-01-30T12:22:58,Active on Site,0
1460,2025-02-07T13:44:21,SMS Delivered,0
195,2025-03-31T10:55:24,Clicked email to unsubscribe,0
2693,2025-03-09T16:23:34,Black Crow Identified,0
463,2025-02-09T17:08:27,Clicked email link,0
1058,2025-04-27T08:30:34,Active on Site,0
1250,2025-04-30T14:46:42,Unsubscribed,0
983,2025-01-25T03:30:08,Email Open,0
612,2025-03-07T09:42:56,Clicked email to unsubscribe,0
2778,2025-04-03T20:12:33,Clicked email link,0
1190,2025-03-07T08:45:55,Clicked Email,1
1653,2025-01-28T16:58:51,Unsubscribed,0
230,2025-03-03T08:49:28,Black Crow Identified,0
967,2025-04-03T10:58:28,Active on Site,0
154,2025-03-12T18:39:26,Clicked Email,0
1793,2025-04-20T20:48:09,Clicked Email,0
880,2025-03-16T12:44:39,Email Open,0
2029,2025-03-22T22:28:25,Unsubscribed,0
451,2025-04-09T06:56:23,Order Placed,1
579,2025-03-26T01:17:27,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
15,2025-04-28T14:53:34,SMS Sent,0
2490,2025-01-26T05:08:19,Email Open,0
489,2025-03-02T12:27:02,Unsubscribed,0
77,2025-02-24T05:30:22,Viewed Product.,0
1688,2025-03-18T13:07:05,Blotout Viewed Product Xyz,0
32,2025-01-28T04:31:20,SMS Sent,0
1755,2025-03-08T11:17:19,Blotout Viewed Product Xyz,0
1410,2025-01-07T13:41:53,Email Open,0
610,2025-03-31T12:50:56,SMS Delivered,0
2455,2025-01-07T07:41:56,Viewed Product.,0
232,2025-03-17T13:12:28,Placed Order,1
2221,2025-04-26T11:36:45,Order Placed,1
1853,2025-02-17T03:18:40,Order Placed,1
1314,2025-02-23T08:09:03,Email Open,0
1358,2025-03-12T04:32:04,SMS Sent,0
1093,2025-03-27T05:32:06,Email Open,0
1003,2025-04-08T15:04:54,Clicked Email,0
1746,2025-04-11T22:11:01,Email Open,0
1391,2025-04-30T12:15:00,Active on Site,0
161,2025-03-03T17:04:35,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
415,2025-02-27T14:01:30,Placed Order,1
82,2025-02-23T07:42:08,Email Open,0
642,2025-02-17T01:04:13,Unsubscribed,1
329,2025-04-27T07:46:51,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1179,2025-04-02T17:13:13,Viewed Product XYZ   ,0
2535,2025-03-28T18:29:49,Viewed Product XYZ   ,0
2429,2025-03-01T14:10:09,Email Open,1
2478,2025-02-24T21:48:54,Opened Email,0
2297,2025-01-27T13:15:58,Black Crow Identified,0
2252,2025-04-18T08:01:58,SMS Sent,0
1714,2025-03-01T22:10:33,Order Placed,1
2395,2025-04-30T23:37:35,Viewed Product XYZ   ,0
1462,2025-04-05T12:58:32,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1037,2025-04-13T08:40:46,Clicked email to unsubscribe,0
1035,2025-01-28T11:17:52,Black Crow Identified,0
244,2025-03-18T09:15:26,Order Placed,1
2228,2025-03-24T10:43:38,Viewed Product XYZ   ,0
1406,2025-01-02T02:00:18,SMS Delivered,0
2886,2025-02-05T11:34:07,Viewed Product.,0
403,2025-04-11T13:02:50,Clicked email to unsubscribe,1
2864,2025-02-16T22:06:15,Clicked Email,0
1184,2025-04-16T15:02:40,Email Open,0
195,2025-04-17T19:42:43,Unsubscribed,0
1918,2025-04-26T04:13:51,Email Open,0
789,2025-04-06T04:52:59,Blotout Viewed Product Xyz,0
843,2025-02-28T07:48:16,Unsubscribed,0
2429,2025-04-02T14:50:11,Placed Order,1
624,2025-02-27T20:03:24,Viewed Product XYZ   ,0
1423,2025-02-18T08:43:46,Blotout Viewed Product Xyz,0
167,2025-04-06T02:22:29,Placed Order,1
1393,2025-02-24T16:42:31,Black Crow Identified,0
1754,2025-03-03T13:07:31,Placed Order,1
2653,2025-01-08T14:43:20,Order Placed,1
165,2025-01-04T07:40:42,SMS Sent,0
681,2025-04-03T00:26:53,Viewed Product XYZ   ,0
2930,2025-02-28T02:19:52,Active on Site,0
11,2025-04-20T23:33:23,Clicked email to unsubscribe,0
218,2025-03-04T13:38:48,Viewed Product.,0
2683,2025-01-29T05:02:47,Email Open,0
106,2025-02-08T20:13:49,Viewed Product XYZ   ,0
2512,2025-03-25T16:30:41,Order Placed,1
2414,2025-02-03T17:30:35,Black Crow Identified,0
1451,2025-03-09T14:54:40,Clicked email to unsubscribe,0
2151,2025-03-06T11:57:00,SMS Sent,0
168,2025-01-02T12:53:30,Order Placed,1
27,2025-01-13T09:15:51,Unsubscribed,0
2562,2025-03-17T01:25:57,Email Open,0
2961,2025-02-26T14:02:33,Active on Site,1
2909,2025-01-14T14:43:47,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
2267,2025-04-23T07:08:45,Clicked email to unsubscribe,0
2926,2025-02-01T22:57:02,Blotout Viewed Product Xyz,0
2049,2025-02-28T19:25:26,SMS Sent,0
2881,2025-01-09T20:33:33,Black Crow Identified,0
724,2025-04-26T13:51:36,Clicked email to unsubscribe,1
1727,2025-02-26T12:41:54,SMS Sent,0
176,2025-04-26T01:39:50,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1569,2025-04-05T16:21:53,Placed Order,1
1337,2025-02-06T17:09:28,Opened Email,0
1365,2025-02-15T16:31:49,SMS Sent,0
1176,2025-01-18T17:19:32,Unsubscribed,0
2468,2025-01-22T16:04:55,Order Placed,1
2120,2025-02-27T05:42:12,Placed Order,1
627,2025-04-20T01:39:27,Blotout Viewed Product Xyz,0
154,2025-02-27T14:35:28,Unsubscribed,0
1536,2025-02-17T16:56:11,Unsubscribed,0
273,2025-01-02T22:40:35,Clicked Email,0
2376,2025-04-12T00:57:59,Black Crow Identified,0
856,2025-03-15T09:31:50,Order Placed,1
198,2025-04-27T20:47:49,Viewed Product XYZ   ,0
745,2025-01-06T00:44:54,Black Crow Identified,0
97,2025-02-16T17:29:02,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1900,2025-03-20T11:07:54,Black Crow Identified,0
1231,2025-01-29T14:22:24,SMS Delivered,0
584,2025-02-04T20:01:49,Viewed Product XYZ   ,0
1003,2025-04-13T20:38:42,Active on Site,0
1267,2025-01-29T00:53:49,Active on Site,0
1187,2025-01-04T13:24:43,Email Open,0
1190,2025-03-01T10:26:13,Placed Order,1
738,2025-04-16T11:19:36,Clicked Email,0
1438,2025-01-08T09:44:17,Clicked Email,0
1135,2025-03-04T16:06:51,Viewed Product XYZ   ,0
567,2025-04-05T07:41:51,SMS Delivered,0
748,2025-01-16T08:38:16,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
2705,2025-03-19T19:22:30,Order Placed,1
2301,2025-03-14T17:59:48,Black Crow Identified,0
1620,2025-02-15T18:27:47,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
198,2025-03-31T07:27:05,Order Placed,1
2455,2025-01-14T22:51:56,Black Crow Identified,0
430,2025-03-27T13:30:18,Unsubscribed,0
595,2025-01-28T12:49:16,Opened Email,0
1698,2025-01-13T04:07:19,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,1
2635,2025-02-06T17:35:41,Clicked email link,0
195,2025-04-12T10:55:23,Clicked email link,0
1181,2025-02-08T05:39:11,Viewed Product XYZ   ,0
71,2025-03-01T15:16:10,Email Open,0
335,2025-03-04T21:34:09,Blotout Viewed Product Xyz,0
1858,2025-04-10T04:29:38,Viewed Product.,0
2648,2025-03-03T01:51:26,Clicked email link,0
2617,2025-03-26T17:24:21,Viewed Product.,0
2803,2025-01-12T03:39:28,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1973,2025-03-04T00:26:39,Clicked email link,0
964,2025-03-04T19:20:23,Email Open,0
1054,2025-04-20T21:28:46,Clicked email to unsubscribe,0
2938,2025-02-18T00:13:26,Active on Site,0
1433,2025-01-02T16:18:08,Blotout Viewed Product Xyz,0
151,2025-02-08T12:35:18,Placed Order,1
2425,2025-04-17T12:51:40,Clicked Email,0
530,2025-03-21T00:34:24,Opened Email,0
414,2025-01-11T05:13:08,Black Crow Identified,0
2164,2025-03-26T03:23:40,Viewed Product.,0
8,2025-04-08T01:27:21,Black Crow Identified,0
2822,2025-02-19T20:02:53,Black Crow Identified,0
957,2025-04-08T11:42:34,Order Placed,1
2495,2025-01-15T23:05:51,SMS Sent,0
1427,2025-01-11T17:20:33,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1775,2025-01-20T22:57:52,Viewed Product.,0
1655,2025-03-25T16:47:34,Viewed Product XYZ   ,0
1154,2025-01-01T21:18:16,Clicked Email,0
1832,2025-01-12T20:43:42,Unsubscribed,0
2094,2025-04-12T01:38:23,Unsubscribed,0
2814,2025-03-11T13:28:21,Viewed Product.,1
837,2025-01-30T08:40:17,Unsubscribed,0
2723,2025-03-21T01:25:13,Clicked email link,0
2949,2025-02-13T10:52:06,Active on Site,0
1153,2025-03-02T07:26:17,Viewed Product.,0
560,2025-01-23T04:41:33,Black Crow Identified,0
1483,2025-04-21T09:58:41,Black Crow Identified,0
2507,2025-01-31T17:36:48,Viewed Product XYZ   ,0
2317,2025-03-25T02:34:48,Order Placed,1
386,2025-04-24T07:41:51,Placed Order,1
2018,2025-01-28T12:01:33,Active on Site,0
2191,2025-04-07T02:59:39,Opened Email,0
1355,2025-02-12T16:49:59,Viewed Product.,0
1208,2025-02-06T06:11:08,Clicked email link,0
1775,2025-04-08T08:06:46,Placed Order,1
2752,2025-02-17T04:03:09,Opened Email,0
1844,2025-01-07T01:13:45,Order Placed,1
634,2025-03-26T18:00:53,Viewed Product.,1
1212,2025-03-11T00:50:25,Blotout Viewed Product Xyz,0
2568,2025-04-22T23:25:42,Clicked Email,0
2798,2025-03-14T04:50:45,Active on Site,0
745,2025-02-03T19:12:41,Opened Email,0
2559,2025-01-07T13:43:54,Placed Order,1
176,2025-01-02T03:03:22,Black Crow Identified,0
149,2025-02-19T09:01:23,Placed Order,1
2483,2025-04-27T20:14:21,Viewed Product.,0
1556,2025-01-11T11:08:10,Placed Order,1
2177,2025-01-28T03:57:23,Clicked email link,0
631,2025-01-18T22:24:49,Clicked email link,0
2493,2025-04-09T23:08:32,Unsubscribed,0
244,2025-02-04T09:06:38,SMS Delivered,0
748,2025-04-11T07:44:36,Email Open,0
1886,2025-01-29T20:59:30,SMS Delivered,0
47,2025-01-08T17:01:52,Viewed Product XYZ   ,1
217,2025-04-21T07:30:48,Clicked email to unsubscribe,0
1543,2025-02-25T14:25:24,Placed Order,1
1210,2025-03-13T09:18:45,Order Placed,1
1174,2025-03-22T23:56:15,SMS Delivered,0
2644,2025-01-03T19:52:35,Clicked Email,0
2347,2025-01-12T10:05:52,Email Open,0
1329,2025-01-06T17:09:05,Email Open,0
1715,2025-04-06T02:54:31,Black Crow Identified,0
2833,2025-02-15T21:15:27,Placed Order,1
344,2025-03-27T18:29:52,Clicked Email,0
1199,2025-03-17T11:57:28,Viewed Product XYZ   ,0
238,2025-01-16T01:20:50,Viewed Product.,0
1974,2025-01-23T02:09:04,Placed Order,1
621,2025-02-20T00:14:23,Viewed Product XYZ   ,0
2510,2025-01-01T15:46:46,Clicked email to unsubscribe,0
241,2025-03-09T07:04:27,Clicked email to unsubscribe,0
802,2025-02-06T13:40:03,SMS Delivered,0
2392,2025-01-29T18:37:01,Opened Email,0
117,2025-01-28T08:30:34,SMS Delivered,0
2512,2025-04-23T22:52:55,Active on Site,0
229,2025-01-14T18:02:37,Blotout Viewed Product Xyz,0
876,2025-02-17T00:39:46,SMS Delivered,0
1514,2025-04-21T02:12:10,Clicked Email,1
410,2025-04-12T12:44:43,Viewed Product XYZ   ,0
1892,2025-03-16T03:14:55,Clicked email link,0
1473,2025-02-04T18:47:21,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
1016,2025-03-10T03:05:07,Viewed Product XYZ   ,0
2450,2025-03-22T04:01:17,SMS Sent,0
406,2025-01-08T07:21:31,Clicked email to unsubscribe,0
963,2025-01-15T16:15:42,Clicked email to unsubscribe,0
2814,2025-04-16T10:50:13,Order Placed,1
87,2025-01-08T22:30:48,Octane: Quiz Completed: Find The Perfect Eye Shadow   .,0
2751,2025-01-03T20:26:55,Viewed Product.,0
2494,2025-02-12T22:45:23,SMS Delivered,0
2904,2025-03-16T16:03:00,Blotout Viewed Product Xyz,0
1982,2025-01-26T23:03:18,Unsubscribed,0
